ID , MJDStart , MJDStop  , Duration, sqrtTS, Counts, CountsError, PhotonFlux, PhotonFluxError, Luminosity, LuminosityError
E01, 54343.000, 54343.083,        2,    3.5,     11,           5, 10.09E-6  , 4.36E-6        , 3.78E37   , 1.63E37
E02, 54732.250, 54732.500,        6,    3.1,     19,           8, 2.96E-6   , 1.25E-6        , 1.11E37   , 0.47E37
E03, 54746.416, 54746.500,        2,    3.3,     11,           5, 6.46E-6   , 3.03E-6        , 2.42E37   , 1.13E37
E04, 54915.333, 54915.416,        2,    3.5,      8,           4, 7.55E-6   , 3.71E-6        , 2.83E37   , 1.39E37
E05, 54935.666, 54936.750,        2,    4.1,     15,           6, 6.89E-6   , 2.66E-6        , 2.58E37   , 1.00E37
E06,          ,          ,         ,       ,       ,            ,           ,                ,           , 
E07, 55109.000, 55109.166,        4,    4.3,     19,           7, 5.04E-6   , 1.79E-6        , 1.89E37   , 0.67E37
E08, 55112.583, 55112.666,        2,    3.6,     12,           5, 6.64E-6   , 2.76E-6        , 2.48E37   , 1.03E37
E09, 55599.000, 55599.083,        2,    3.9,      7,           4, 13.14E-6  , 6.80E-6        , 4.92E37   , 2.54E37
E10, 56182.000, 56183.250,        6,    3.5,      7,           4, 4.57E-6   , 2.35E-6        , 1.71E37   , 0.88E37
E11,          ,          ,         ,       ,       ,            ,           ,                ,           , 
E12, 56351.500, 56351.666,        4,    3.3,      7,           4, 7.37E-6   , 3.87E-6        , 2.76E37   , 1.45E37
E13, 57786.000, 57786.250,        6,    3.2,      8,           4, 7.57E-6   , 3.84E-6        , 2.83E37   , 1.44E37
E14,          ,          ,         ,       ,       ,            ,           ,                ,           , 
E15, 58199.333, 58199.500,        4,    3.9,     11,           5, 10.69E-6  , 4.69E-6        , 4.00E37   , 1.76E37
E16, 58368.000, 58368.166,        4,    3.6,      8,           4, 9.98E-6   , 4.83E-6        , 3.73E37   , 1.81E37
E17, 58744.000, 58744.250,        6,    4.0,     12,           5, 8.45E-6   , 3.52E-6        , 3.16E37   , 1.32E37
E18,          ,          ,         ,       ,       ,            ,           ,                ,           , 
E19, 59806.250, 59806.500,        6,    3.3,      7,           4, 6.18E-6   , 3.30E-6        , 2.31E37   , 1.23E37
